1	693102	424611	6
2	1207875	1549261	20
3	609562	1273283	19
4	1181446	92969	17
5	2004369	926004	2
6	1680048	1155543	11
7	1971195	188125	7
8	302800	1048177	4
9	457906	714211	5
10	390013	2073455	12
11	584406	808467	4
12	810476	1230784	8
13	126234	1731908	16
14	1960896	1999970	19
15	1290374	2068677	4
16	555926	1885390	6
17	91827	1265390	18
18	58409	517268	8
19	1375798	1044352	10
20	1419539	1880857	3
21	1998356	926650	4
22	477792	1646657	15
23	1307212	1254790	5
24	1695909	981411	15
25	1368915	822723	3
26	1514920	749827	8
27	122517	235883	17
28	1105263	1061803	5
29	368336	357208	14
30	703974	1168364	6
31	1038713	1672553	13
32	1818471	944401	15
33	39152	411902	8
34	1221347	207480	13
35	667295	1214237	20
36	744458	369798	3
37	1410156	948499	7
38	2009198	512378	9
39	991890	1902307	4
40	796107	2085965	9
41	1058191	115339	4
42	1222400	199618	16
43	1117814	601190	20
44	1459567	738285	17
45	274831	439976	15
46	1931628	272757	3
47	1410738	447142	15
48	1843415	876357	8
49	1241095	1159446	3
50	2043846	353588	16
51	1998202	1292269	10
52	2019160	1350623	4
53	560012	1883214	11
54	1253088	735622	12
55	1735539	1778909	17
56	1785010	535719	14
57	1020825	9140	12
58	1852398	1644881	5
59	428397	293895	14
60	605163	2073653	5
61	2085836	639564	18
62	966347	556178	10
63	1394169	2033382	15
64	2050037	594713	16
65	607419	1173829	16
66	1124047	1087256	1
67	1663086	2013699	16
68	486245	2040154	5
69	995609	783978	18
70	1589162	547489	11
71	583380	144799	5
72	286797	1216603	12
73	627220	1035918	20
74	1470667	389091	17
75	147499	2075076	1
76	1586152	1620137	20
77	1498126	1212918	12
78	98133	577511	8
79	198565	275568	20
80	1012547	1080365	17
81	531652	232905	17
82	902911	1464298	10
83	99902	1335356	19
84	532990	324294	13
85	2088095	105350	10
86	118312	867837	12
87	1877595	1165393	13
88	1243355	6940	19
89	2001426	1354321	20
90	693335	248977	13
91	273860	917075	1
92	1547601	773386	8
93	407159	664630	19
94	1765127	959646	17
95	282552	1670795	14
96	301864	94812	8
97	1808177	811446	7
98	38886	328884	20
99	95834	680966	18
100	1189708	1226693	13
101	344958	182559	7
102	1379704	937873	2
103	1716453	388160	3
104	14219	1567846	10
105	1960140	195872	5
106	1584481	1626340	13
107	492798	436767	5
108	2018974	1002063	3
109	502691	670897	6
110	13522	89643	19
111	1942220	1806700	12
112	2020054	885399	8
113	1361573	2062704	7
114	1109034	1960156	10
115	2026862	781192	20
116	612973	1470586	20
117	1145515	1163987	14
118	948222	395896	11
119	379157	423433	10
120	1453898	813108	14
121	77092	1328560	1
122	1291177	1466907	11
123	526874	1460769	1
124	593164	1191562	15
125	96084	182986	18
126	1389098	1710939	13
127	1821845	730270	12
128	1919717	63847	7
129	1231052	757731	19
130	1996145	1219871	18
131	200487	326610	18
132	810519	1780511	2
133	945637	1020563	15
134	1641343	1790304	5
135	1685682	1501563	11
136	1845250	1391437	5
137	1515160	754145	6
138	69966	1261540	3
139	379810	1081669	18
140	1491496	117344	19
141	279828	502391	7
142	1649450	148468	12
143	474165	174140	3
144	632821	700365	17
145	151565	302688	8
146	1147315	828684	17
147	1620592	1207038	14
148	56846	177551	8
149	757455	1228870	19
150	1117243	1312613	15
151	1761208	1974363	4
152	927655	145644	13
153	256161	1789124	7
154	1201793	951075	20
155	725313	650527	2
156	122292	1456351	20
157	2001635	2068494	7
158	598061	263955	11
159	1760298	660567	20
160	561606	1338703	17
161	724710	25693	4
162	883806	2072965	4
163	401771	640933	11
164	2016958	1198697	6
165	1767432	539396	7
166	1902177	263526	7
167	147206	1003513	15
168	2011210	1175310	1
169	1610710	1115020	2
170	483742	1002064	14
171	851443	1140480	20
172	1097079	556114	14
173	472044	1592008	8
174	972191	787328	14
175	508665	411957	9
176	799321	1800495	3
177	557555	1274971	20
178	1050718	605334	7
179	790227	1375245	10
180	855484	215416	18
181	405880	1587336	18
182	1779602	708284	16
183	991128	35118	16
184	534699	633556	10
185	1577293	592329	12
186	1438092	361494	12
187	1302422	2024930	12
188	448617	469935	9
189	1369129	585106	16
190	1563	1476245	17
191	146787	833186	2
192	858774	1541584	16
193	150020	1494577	12
194	1150652	1604618	14
195	1137056	1069578	14
196	1270973	213300	3
197	844254	1184410	1
198	1556226	1692128	12
199	1176498	863371	3
200	1916537	1261209	9
201	174770	1002027	18
202	1121549	1670507	4
203	891655	1059851	8
204	504106	1692535	14
205	346105	1675508	8
206	900449	1677012	17
207	431572	867765	5
208	855331	1634013	20
209	1641397	1420833	12
210	1774258	293777	13
211	1835209	1517632	10
212	1527136	1436771	20
213	1620167	737119	7
214	433001	1888600	8
215	548842	763037	15
216	1652351	628245	14
217	860537	411881	2
218	2009017	1658407	6
219	292794	472931	13
220	470386	981710	5
221	1147234	427391	3
222	1674239	1319421	17
223	1701851	628554	6
224	519247	1848363	9
225	2078550	173738	2
226	2058010	1786966	19
227	877544	1103131	18
